Temperature_C,Vout_V
-60,-0.0145323132972609
-58.5858585858586,0.0117937924629164
-57.1717171717172,0.0380519714784058
-55.7575757575758,0.0642425849220283
-54.3434343434343,0.0903659899554559
-52.9292929292929,0.116422539764071
-51.5151515151515,0.142412583591484
-50.1010101010101,0.168336466773706
-48.6868686868687,0.194194530772984
-47.2727272727273,0.219987113211292
-45.8585858585859,0.245714547903497
-44.4444444444444,0.271377164890193
-43.030303030303,0.29697529047022
-41.6161616161616,0.322509247232848
-40.2020202020202,0.347979354089662
-38.7878787878788,0.373385926306115
-37.3737373737374,0.398729275532798
-35.959595959596,0.424009709836381
-34.5454545454545,0.449227533730269
-33.1313131313131,0.474383048204949
-31.7171717171717,0.499476550758061
-30.3030303030303,0.524508335424154
-28.8888888888889,0.549478692804173
-27.4747474747475,0.574387910094663
-26.0606060606061,0.599236271116678
-24.6464646464646,0.624024056344431
-23.2323232323232,0.648751542933654
-21.8181818181818,0.673419004749701
-20.4040404040404,0.698026712395379
-18.989898989899,0.722574933238505
-17.5757575757576,0.747063931439219
-16.1616161616162,0.771493967977026
-14.7474747474747,0.795865300677588
-13.3333333333333,0.820178184239263
-11.9191919191919,0.844432870259389
-10.5050505050505,0.868629607260332
-9.09090909090909,0.892768640715279
-7.67676767676767,0.916850213073797
-6.26262626262626,0.940874563787148
-4.84848484848485,0.964841929333375
-3.43434343434343,0.988752543242146
-2.02020202020202,1.01260663611937
-0.606060606060609,1.0364044356716
0.80808080808081,1.06014616579055
2.22222222222222,1.08383203204987
3.63636363636363,1.10746222559896
5.05050505050505,1.13103693631272
6.46464646464646,1.15455635319937
7.87878787878788,1.17802066440534
9.29292929292929,1.20143005722021
10.7070707070707,1.22478471808156
12.1212121212121,1.24808483257981
13.5353535353535,1.27133058546303
14.9494949494949,1.2945221606417
16.3636363636364,1.31765974119344
17.7777777777778,1.34074350936775
19.1919191919192,1.36377364659064
20.6060606060606,1.3867503334693
22.020202020202,1.40967374979671
23.4343434343434,1.43254407455619
24.8484848484848,1.455361485926
26.2626262626263,1.4781261612838
27.6767676767677,1.50083827721119
29.0909090909091,1.52349800949812
30.5050505050505,1.54610553314737
31.9191919191919,1.56866102237889
33.3333333333333,1.59116465063422
34.7474747474748,1.61361659058079
36.1616161616162,1.63601701411625
37.5757575757576,1.65836609237276
38.989898989899,1.68066399572122
40.4040404040404,1.7029108937755
41.8181818181818,1.72510695539665
43.2323232323232,1.74725234869707
44.6464646464647,1.76934724104461
46.0606060606061,1.79139179906675
47.4747474747475,1.81338618865462
48.8888888888889,1.83533057496711
50.3030303030303,1.85722512243487
51.7171717171717,1.87906999476433
53.1313131313131,1.90086535494169
54.5454545454545,1.92261136523684
55.959595959596,1.94430818720731
57.3737373737374,1.96595598170218
58.7878787878788,1.98755490886592
60.2020202020202,2.0091051281423
61.6161616161616,2.03060679827814
63.030303030303,2.05206007732717
64.4444444444444,2.07346512265379
65.8585858585859,2.09482209093678
67.2727272727273,2.1161311381731
68.6868686868687,2.13739241968152
70.1010101010101,2.15860609010635
71.5151515151515,2.17977230342107
72.9292929292929,2.20089121293195
74.3434343434344,2.22196297128167
75.7575757575758,2.24298773045293
77.1717171717172,2.26396564177194
78.5858585858586,2.28489685591202
80,2.30578152289711
